# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.526758268317392897e+01 9.849335937971572807e-01 1.008267962225644077e+00 9.961769027860933878e-01 9.963373889731814703e-01 9.930315700434584336e-01 1.010162771885743327e+00 1.069026964641452082e+00 1.009668541173466716e+00
1.528095284006070109e+01 9.850919059866696248e-01 1.008245067767901570e+00 9.961313530006945527e-01 9.965898549632848935e-01 9.928568150444468943e-01 1.009937368559170379e+00 1.068091258460066362e+00 1.009431891588965291e+00
1.529733376303271264e+01 9.855624160690156232e-01 1.007658124188367310e+00 9.962584372702949498e-01 9.966885924811607067e-01 9.926282869579086121e-01 1.009836321910427603e+00 1.067036612717931598e+00 1.009224970453724834e+00
1.531700501213190257e+01 9.859588731243049686e-01 1.007306399777897266e+00 9.963331697016454269e-01 9.968822590414627705e-01 9.923893516838470097e-01 1.009636428705448452e+00 1.065720306564132080e+00 1.008941354384754074e+00
1.534021200351098457e+01 9.864109120053619062e-01 1.006942378205700761e+00 9.963678759922121042e-01 9.971721536494888571e-01 9.921294663216264631e-01 1.009344366788280656e+00 1.064177177854126466e+00 1.008640734086747592e+00
1.536762535843401878e+01 9.869062056695332430e-01 1.006527216455442186e+00 9.964945578665187487e-01 9.974042804539979823e-01 9.918538624152533068e-01 1.009065591016488295e+00 1.062361938455936183e+00 1.008256574992892451e+00
1.539938052227711651e+01 9.874855496423817769e-01 1.006038118918483937e+00 9.966093911127854588e-01 9.977744890259713229e-01 9.914879971341862275e-01 1.008677735325113289e+00 1.060291389526702988e+00 1.007830873713420949e+00
1.543515759798233056e+01 9.881834418391323149e-01 1.005526868084200887e+00 9.967266802043027729e-01 9.980218184349065602e-01 9.911492235341892165e-01 1.008367575042719677e+00 1.057978359919991007e+00 1.007403043005761223e+00
1.547591907581098170e+01 9.888239745186715446e-01 1.005103377948035837e+00 9.968373117267673722e-01 9.982909617882564923e-01 9.908022810249894619e-01 1.008043717153574992e+00 1.055328222017897666e+00 1.007072322155566191e+00
1.552048308817261990e+01 9.896171959704037624e-01 1.004472259959650282e+00 9.969430216696607561e-01 9.985800331478480452e-01 9.903495057681667157e-01 1.007634621236599637e+00 1.052555293525574420e+00 1.006454044647550283e+00
1.556936565626442537e+01 9.903230568681309354e-01 1.004066901762547204e+00 9.971216175277015648e-01 9.989389046549661533e-01 9.900218433422927067e-01 1.007075471404663691e+00 1.049568451028200844e+00 1.005917202708275671e+00
1.562154237592417338e+01 9.911163717898991976e-01 1.003700643442864360e+00 9.973112416666625180e-01 9.991995226244991812e-01 9.897032934652973957e-01 1.006654754635452953e+00 1.046446683010674006e+00 1.005430805977093334e+00
1.567712181986891196e+01 9.919592709231686012e-01 1.003260625348908697e+00 9.974747517798205898e-01 9.994187629828190644e-01 9.894553673486798928e-01 1.006160577591750371e+00 1.043259254613702947e+00 1.004905717435734314e+00
1.573592754284540796e+01 9.926790629172036473e-01 1.002980553806770647e+00 9.977127962339431555e-01 9.995382740242910735e-01 9.892900019525281419e-01 1.005721142507835175e+00 1.039980289791669232e+00 1.004343619981865832e+00
1.579574804793052145e+01 9.933687309144664246e-01 1.002638128914089766e+00 9.978977448411696649e-01 9.997025497338809519e-01 9.891836544480047122e-01 1.005200326040079251e+00 1.036777014698579524e+00 1.003950551160232907e+00
1.585901769371135828e+01 9.941007405421410370e-01 1.002419250045781585e+00 9.980763203225277991e-01 9.998445128044444186e-01 9.891582514630858913e-01 1.004776349251759848e+00 1.033538731524130672e+00 1.003406217827699454e+00
1.592384169746276434e+01 9.947404898846841093e-01 1.002189714531283915e+00 9.983249175553168264e-01 9.999613654494284853e-01 9.892408007182504903e-01 1.004322265601496733e+00 1.030370717047463192e+00 1.003011297498926702e+00
1.598853673565599998e+01 9.953681735085058158e-01 1.002013528326422653e+00 9.984518287024981564e-01 1.000017778737191110e+00 9.894149765848161415e-01 1.003895012418167809e+00 1.027360683696116439e+00 1.002667946603398086e+00
1.605472516742218403e+01 9.959042432618135932e-01 1.001889334764848982e+00 9.986422172311402168e-01 1.000073130569061775e+00 9.897140073995757126e-01 1.003480080334904656e+00 1.024447061756183386e+00 1.002304725381669259e+00
